"","e_code","response_time","total_damage_extent"
"110439","E31000046",5,2
"103978","E31000041",10,1
"172458","E31000020",7,5
"110692","E31000046",7,4
"83050","E31000046",6,1
"152179","E31000035",6,1
"156799","E31000042",8,2
"152003","E31000035",8,3
"135939","E31000046",4,4
"44285","E31000033",6,2
"87220","E31000046",5,2
"114463","E31000046",6,6
"858","E31000002",5,4
"140941","E31000002",7,2
"149430","E31000025",8,2
"30243","E31000046",6,2
"113327","E31000046",8,2
"119162","E31000014",5,2
"141178","E31000003",9,3
"92474","E31000013",9,3
"39800","E31000022",5,6
"161743","E31000046",7,3
"40493","E31000023",5,2
"11732","E31000027",6,1
"130312","E31000041",8,3
"145095","E31000015",5,1
"25267","E31000046",7,2
"96313","E31000022",7,2
"160094","E31000045",9,3
"59388","E31000046",7,2
"48275","E31000041",10,2
"74432","E31000038",7,2
"46416","E31000040",6,2
"38966","E31000020",6,2
"32640","E31000006",8,2
"164345","E31000046",4,6
"8737","E31000022",5,2
"148854","E31000024",9,3
"81085","E31000044",7,2
"48045","E31000040",8,2
"149516","E31000026",3,2
"77141","E31000041",6,7
"56749","E31000046",10,4
"20477","E31000043",4,2
"107613","E31000044",8,2
"130807","E31000042",10,1
"76475","E31000040",6,6
"4452","E31000012",9,2
"76870","E31000041",7,2
"175160","E31000028",4,3
"86577","E31000046",6,2
"35227","E31000013",6,5
"110256","E31000046",6,2
"44761","E31000035",10,2
"57938","E31000046",8,5
"46222","E31000040",7,2
"1713","E31000005",10,5
"87010","E31000046",6,3
"152624","E31000037",9,2
"105468","E31000042",7,3
"75572","E31000040",8,2
"30213","E31000046",6,2
"123300","E31000023",5,2
"165627","E31000046",3,3
"24671","E31000046",6,2
"105905","E31000043",8,2
"55605","E31000046",6,6
"145504","E31000016",7,2
"26537","E31000046",5,4
"164763","E31000046",9,1
"126473","E31000034",5,2
"148754","E31000023",6,2
"55839","E31000046",7,1
"11471","E31000026",6,2
"46819","E31000040",7,2
"87420","E31000046",6,3
"161472","E31000046",7,4
"124706","E31000027",8,2
"170952","E31000017",6,1
"50871","E31000043",4,6
"106061","E31000043",4,4
"110375","E31000046",7,2
"130411","E31000041",7,4
"96730","E31000023",6,2
"14286","E31000034",7,5
"114675","E31000046",10,2
"116653","E31000006",6,2
"102896","E31000040",6,4
"91156","E31000010",10,2
"173071","E31000022",9,1
"41795","E31000026",8,1
"136982","E31000046",9,6
"51159","E31000044",10,2
"67724","E31000019",9,5
"94646","E31000017",6,3
"185479","E31000046",8,3
"148119","E31000023",8,6
"179183","E31000040",8,1
"29646","E31000046",6,3
"118302","E31000011",6,3
"126552","E31000034",10,1
"96017","E31000020",7,4
"187447","E31000046",8,1
"14584","E31000035",8,2
"53648","E31000045",9,2
"187383","E31000046",8,3
"43690","E31000031",5,2
"186430","E31000046",6,1
"89970","E31000005",5,5
"22317","E31000044",5,3
"129777","E31000041",6,1
"170701","E31000015",8,2
"105561","E31000042",4,5
"75041","E31000040",5,6
"58090","E31000046",7,2
"110654","E31000046",10,1
"76833","E31000040",3,4
"60481","E31000046",5,3
"70211","E31000024",8,2
"142461","E31000009",9,2
"20946","E31000043",7,6
"28631","E31000046",5,1
"93306","E31000015",6,3
"12367","E31000029",9,2
"169991","E31000014",5,2
"48405","E31000041",10,6
"121192","E31000018",9,1
"167677","E31000007",5,4
"34547","E31000011",7,4
"70034","E31000023",5,6
"100341","E31000033",6,2
"18602","E31000041",7,2
"72371","E31000031",4,4
"111706","E31000046",8,3
"94351","E31000017",10,2
"53761","E31000045",9,2
"13901","E31000033",10,2
"56567","E31000046",9,1
"8893","E31000022",6,2
"187147","E31000046",8,2
"101894","E31000040",7,1
"132983","E31000044",7,2
"14741","E31000035",8,6
"17746","E31000040",5,7
"83767","E31000046",8,5
"32841","E31000006",5,6
"158747","E31000044",6,2
"133558","E31000044",6,6
"50086","E31000042",5,3
"188584","E31000046",6,3
"76751","E31000040",5,5
"155476","E31000041",10,5
"121923","E31000020",10,6
"9924","E31000023",6,3
"123942","E31000024",5,2
"158296","E31000044",8,4
"50820","E31000043",6,4
"152656","E31000037",8,2
"140123","E31000046",10,7
"139826","E31000046",8,3
