,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40
1,billion,said,bank,health,provinc,film,law,per,tourism,team,peac,servic,energi,busi,educ,market,reform,said,export,thailand,said,offer,servic,rice,said,govern,protest,use,art,year,Ì¢‰âÂ‰ÛÏ,channel,china,can,asean,product,road,children,myanmar,new
2,year,polic,loan,hospit,bangkok,music,right,cent,tourist,game,secur,said,plant,thailand,student,stock,elect,meet,trade,thai,economi,new,licenc,farmer,minist,will,polit,onlin,cultur,compani,south,car,chines,like,region,food,Ì¢‰âÂ‰ÛÏ,peopl,worker,text
3,invest,yesterday,said,medic,chiang,perform,report,year,travel,thailand,attack,will,power,invest,univers,investor,polit,will,thai,Ì¢‰âÂ‰ÛÏ,econom,style,oper,price,thailand,tax,govern,can,thai,said,korea,media,cambodia,say,asia,brand,day,women,migrant,screenbrief
4,project,investig,insur,patient,area,festiv,thailand,growth,thailand,win,group,technolog,electr,develop,school,set,constitut,presid,thailand,one,rate,call,will,govern,govern,project,yingluck,facebook,design,market,singapor,vehicl,lao,time,countri,consum,peopl,famili,said,indent
5,said,suspect,financi,doctor,mai,show,case,quarter,hotel,play,muslim,busi,will,countri,said,bond,nation,member,year,peopl,bank,bangkok,broadcast,tonn,prime,ministri,thaksin,social,exhibit,will,india,new,hong,one,indonesia,market,water,age,traffick,brief
6,compani,nation,custom,treatment,will,Ì¢‰âÂ‰ÛÏ,court,expect,year,said,violenc,provid,project,asean,learn,index,peopl,nation,said,countri,polici,hotel,nbtc,million,prayut,plan,thai,user,event,busi,australia,digit,kong,get,thailand,thai,anim,live,rohingya,rate
7,develop,report,will,diseas,citi,thai,human,increas,thai,world,thai,thailand,gas,industri,teacher,thai,parti,committe,product,can,thailand,includ,telecom,scheme,nation,said,shinawatra,phone,thailand,thailand,world,will,thailand,just,southeast,thailand,one,young,thailand,star
8,properti,offic,busi,can,land,year,issu,billion,said,thai,armi,market,oil,econom,studi,expect,will,yesterday,will,must,will,room,said,said,countri,budget,democrat,media,will,sale,state,broadcast,vietnam,want,malaysia,produc,home,life,fish,head
9,fund,arrest,thai,peopl,project,danc,legal,rate,will,will,militari,mobil,said,said,research,price,power,organis,countri,mani,govern,design,network,agricultur,yesterday,state,parti,also,king,million,unit,advertis,beij,will,china,use,eleph,year,countri,direct
10,will,offici,credit,drug,build,movi,govern,month,million,player,govern,digit,water,compani,programm,exchang,new,group,industri,world,polit,restaur,auction,year,militari,public,peopl,app,nation,group,germani,year,thai,Ì¢‰âÂ‰ÛÏ,will,also,villag,mother,boat,also
11,million,found,smes,healthcar,local,also,protect,last,airport,first,south,custom,environment,sector,develop,will,charter,associ,import,polit,baht,two,nation,farm,foreign,polici,minist,smartphon,centr,new,franc,said,cambodian,make,asian,world,say,parent,border,thai
12,per,two,commerci,also,district,will,nation,price,airlin,year,talk,data,natur,growth,also,secur,vote,chairman,commerc,like,debt,open,telecommun,will,thai,propos,prime,video,year,oper,new,thailand,countri,now,econom,custom,around,thailand,labour,young
13,worth,alleg,corpor,medicin,rai,play,year,forecast,visitor,last,insurg,compani,thailand,market,institut,foreign,govern,manag,billion,democraci,growth,night,million,ministri,general,nation,leader,smart,show,plan,indian,programm,two,year,philippin,good,famili,help,yangon,major
14,cent,chief,lend,public,locat,audienc,intern,first,flight,match,islam,new,use,will,thailand,point,member,offic,market,right,year,visit,compani,crop,order,system,bill,tablet,award,retail,europ,also,border,come,singapor,qualiti,driver,social,thai,take
15,unit,case,compani,cancer,road,fan,thai,rise,intern,two,conflict,manag,generat,product,skill,gold,draft,execut,also,even,countri,avail,TRUE,billion,ncpo,develop,pheu,websit,world,next,russia,model,disput,even,cooper,make,accid,work,malaysia,english
16,asset,also,financ,servic,park,say,violat,lower,destin,second,bomb,internet,product,competit,thai,capit,democraci,right,per,letter,central,Ì¢‰âÂ‰ÛÏ,digit,rubber,also,agenc,ralli,devic,work,open,asia,sale,templ,good,japan,shop,live,child,refuge,thailand
17,market,thailand,small,caus,metr,stage,state,profit,countri,open,state,solut,capac,aec,work,thailand,said,thai,cent,need,global,day,concess,pledg,chanocha,thailand,will,mobil,also,expand,australian,content,vietnames,think,develop,coffe,time,societi,human,hous
18,total,peopl,branch,thailand,centr,theatr,action,averag,oper,cup,buddhist,cloud,plan,region,nation,week,countri,discuss,ministri,way,domest,enjoy,commiss,market,junta,also,suthep,system,royal,per,korean,million,foreign,work,vietnam,campaign,dog,popul,govern,famili
19,last,author,help,infect,river,song,rule,percent,number,final,arm,develop,compani,need,train,trade,democrat,board,depart,just,financi,colour,cat,cost,deputi,countri,support,featur,artist,store,africa,motor,court,take,also,store,kill,also,peopl,friend
20,first,depart,card,care,communiti,love,corrupt,half,foreign,asian,monk,onlin,year,foreign,will,earn,system,director,invest,fact,currenc,special,plan,loss,coup,depart,amnesti,post,bangkok,also,european,nation,year,still,intern,can,drive,thai,work,world
21,new,thai,thailand,test,also,thailand,enforc,demand,bangkok,nation,leader,system,ptt,govern,scienc,may,corrupt,repres,nation,time,also,book,share,export,ministri,fund,former,Ì¢‰âÂ‰ÛÏ,museum,expect,zealand,auto,area,need,member,drink,hous,Ì¢‰âÂ‰ÛÏ,illeg,woman
22,condominium,district,payment,provid,buri,bangkok,author,spend,arriv,champion,Ì¢‰âÂ‰ÛÏ,softwar,per,investor,teach,bank,politician,public,promot,media,interest,can,dtac,ricepledg,meet,need,red,connect,tradit,execut,north,news,territori,thing,myanmar,new,take,will,sea,return
